EmployeeID,MonthlyIncome,Department,CreatedBy,CreatedAt
216,36736,Operations,ozge.kaya,7/3/2024
217,30362,Finance,melis.kilic,7/5/2024
218,37789,HR,elif.sahin,7/7/2024
219,27705,Operations,dilan.erdem,7/2/2024
220,39139,Sales,melis.kilic,7/2/2024
221,8677,Finance,ozge.kaya,7/3/2024
222,18344,Finance,cem.kurt,7/2/2024
223,35833,Sales,melis.kilic,7/3/2024
224,16639,HR,ozge.kaya,7/3/2024
225,32157,Operations,ferhat.koc,7/7/2024
226,9569,Finance,murat.demir,7/5/2024
227,32406,HR,ayse.kaya,7/7/2024
228,32199,Finance,zeynep.yilmaz,7/6/2024
229,10246,HR,ayse.kaya,7/7/2024
230,21241,Operations,dilan.erdem,7/5/2024
231,31942,Operations,murat.demir,7/3/2024
232,14706,HR,murat.demir,7/6/2024
233,2629,Sales,okan.arar,7/3/2024
234,16650,Sales,zeynep.yilmaz,7/5/2024
235,32254,Finance,murat.demir,7/3/2024
236,23889,Sales,ferhat.koc,7/5/2024
237,21411,HR,elif.sahin,7/3/2024
238,8001,Sales,ayse.kaya,7/4/2024
239,2162,HR,melis.kilic,7/3/2024
240,17991,Finance,fatma.bolat,7/1/2024
241,16338,Operations,murat.demir,7/2/2024
242,35382,HR,yusuf.genc,7/1/2024
243,36258,Sales,cem.kurt,7/3/2024
244,24469,HR,buse.ozkan,7/6/2024
245,39677,IT,okan.arar,7/7/2024
246,19821,IT,cem.kurt,7/2/2024
247,24507,Operations,dilan.erdem,7/7/2024
248,9481,Finance,dilan.erdem,7/6/2024
249,26892,HR,ayse.kaya,7/3/2024
250,34116,Operations,emre.tuna,7/1/2024
251,15966,IT,zeynep.yilmaz,7/1/2024
252,34537,IT,emre.tuna,7/7/2024
253,27442,Finance,dilan.erdem,7/6/2024
254,25347,Finance,cem.kurt,7/5/2024
255,3673,Operations,cem.kurt,7/2/2024
256,12395,Operations,serkan.ates,7/1/2024
257,5856,IT,okan.arar,7/3/2024
258,11472,Operations,melis.kilic,7/1/2024
259,29509,HR,ozge.kaya,7/6/2024
260,14996,IT,murat.demir,7/5/2024
261,3796,HR,okan.arar,7/1/2024
262,5261,HR,ferhat.koc,7/2/2024
263,4362,Sales,buse.ozkan,7/4/2024
264,6502,Finance,ozge.kaya,7/6/2024
265,9482,Sales,murat.demir,7/7/2024
266,31754,Operations,ayse.kaya,7/5/2024
267,2339,Operations,zeynep.yilmaz,7/6/2024
268,3859,IT,elif.sahin,7/5/2024
269,3691,Operations,dilan.erdem,7/4/2024
270,7164,Operations,serkan.ates,7/3/2024
271,29261,HR,ayse.kaya,7/3/2024
272,12859,Sales,cem.kurt,7/6/2024
273,20454,Sales,fatma.bolat,7/4/2024
274,30149,Operations,fatma.bolat,7/1/2024
275,32871,Operations,okan.arar,7/7/2024
276,7128,IT,elif.sahin,7/7/2024
277,18160,HR,emre.tuna,7/3/2024
278,8596,Finance,zeynep.yilmaz,7/4/2024
279,33096,Operations,murat.demir,7/7/2024
280,25635,Sales,murat.demir,7/3/2024
281,2719,HR,ayse.kaya,7/2/2024
282,12989,HR,murat.demir,7/6/2024
283,26983,HR,okan.arar,7/7/2024
284,38450,Operations,elif.sahin,7/4/2024
285,20267,Finance,yusuf.genc,7/4/2024
286,28215,Operations,emre.tuna,7/5/2024
287,34373,Sales,emre.tuna,7/7/2024
288,9222,IT,fatma.bolat,7/4/2024
289,19967,IT,ozge.kaya,7/6/2024
290,26841,HR,cem.kurt,7/7/2024
291,33217,Operations,murat.demir,7/6/2024
292,16669,Sales,okan.arar,7/7/2024
293,12839,Operations,fatma.bolat,7/3/2024
294,12636,HR,yusuf.genc,7/1/2024
295,24872,HR,melis.kilic,7/1/2024
296,5820,Operations,serkan.ates,7/7/2024
297,15281,HR,melis.kilic,7/5/2024
298,7043,Sales,dilan.erdem,7/6/2024
299,20257,Finance,fatma.bolat,7/7/2024
300,38274,IT,ozge.kaya,7/7/2024
301,17857,Finance,serkan.ates,7/2/2024
302,17257,IT,serkan.ates,7/1/2024
303,2290,Finance,elif.sahin,7/7/2024
304,8143,Finance,ferhat.koc,7/4/2024
305,15507,Finance,cem.kurt,7/7/2024
306,19716,HR,yusuf.genc,7/6/2024
307,19635,HR,cem.kurt,7/3/2024
308,31816,Sales,yusuf.genc,7/4/2024
309,18808,Operations,ferhat.koc,7/6/2024
310,21802,HR,ferhat.koc,7/4/2024
311,11416,Operations,ferhat.koc,7/4/2024
312,25383,Sales,serkan.ates,7/7/2024
313,2805,HR,melis.kilic,7/3/2024
314,29636,HR,okan.arar,7/2/2024
315,8817,Finance,yusuf.genc,7/4/2024
316,19626,IT,fatma.bolat,7/1/2024
317,2207,Finance,okan.arar,7/6/2024
318,25812,Sales,dilan.erdem,7/2/2024
319,669,Finance,cem.kurt,7/1/2024
320,27542,Finance,murat.demir,7/1/2024
321,24645,Finance,serkan.ates,7/3/2024
322,39170,Operations,buse.ozkan,7/1/2024
323,39445,Operations,melis.kilic,7/1/2024
324,10621,Sales,ozge.kaya,7/2/2024
325,22499,Operations,fatma.bolat,7/7/2024
326,14958,Sales,ozge.kaya,7/1/2024
327,32910,HR,ferhat.koc,7/7/2024
328,28666,IT,yusuf.genc,7/4/2024
329,17531,IT,melis.kilic,7/4/2024
330,20502,Finance,cem.kurt,7/5/2024
331,17651,HR,okan.arar,7/5/2024
332,12562,Sales,fatma.bolat,7/7/2024
333,6526,IT,murat.demir,7/5/2024
334,3148,Operations,murat.demir,7/7/2024
335,6346,IT,dilan.erdem,7/3/2024
336,32212,HR,cem.kurt,7/3/2024
337,7455,IT,melis.kilic,7/3/2024
338,3984,HR,murat.demir,7/2/2024
339,23413,Sales,melis.kilic,7/4/2024
340,6678,Operations,murat.demir,7/2/2024
341,27434,Sales,zeynep.yilmaz,7/4/2024
342,17674,Finance,ayse.kaya,7/7/2024
343,33913,Finance,melis.kilic,7/3/2024
344,5079,Operations,buse.ozkan,7/6/2024
345,18152,Sales,ferhat.koc,7/2/2024
346,27405,Operations,buse.ozkan,7/2/2024
347,32681,HR,buse.ozkan,7/6/2024
348,34469,Sales,fatma.bolat,7/5/2024
349,22843,IT,ferhat.koc,7/7/2024
350,35789,Sales,serkan.ates,7/4/2024
351,18426,IT,ayse.kaya,7/4/2024
352,5043,Operations,elif.sahin,7/6/2024
353,5860,Finance,serkan.ates,7/2/2024
354,12450,IT,emre.tuna,7/5/2024
355,24470,IT,fatma.bolat,7/1/2024
356,8049,Sales,yusuf.genc,7/1/2024
357,28868,HR,serkan.ates,7/5/2024
358,38839,Finance,serkan.ates,7/1/2024
359,33402,Finance,melis.kilic,7/7/2024
360,8539,Finance,serkan.ates,7/2/2024
361,10422,Sales,murat.demir,7/4/2024
362,1148,Operations,elif.sahin,7/3/2024
363,39400,Sales,yusuf.genc,7/6/2024
364,32530,Sales,okan.arar,7/5/2024
365,22298,IT,ozge.kaya,7/6/2024
366,24377,Operations,fatma.bolat,7/4/2024
367,14380,Operations,fatma.bolat,7/5/2024
368,33352,Sales,yusuf.genc,7/7/2024
369,32312,HR,ozge.kaya,7/7/2024
370,13077,HR,yusuf.genc,7/4/2024
371,26115,Operations,ferhat.koc,7/7/2024
372,36577,IT,yusuf.genc,7/1/2024
373,32258,HR,ferhat.koc,7/2/2024
374,27112,Sales,cem.kurt,7/5/2024
375,18380,Operations,elif.sahin,7/2/2024
376,27843,HR,melis.kilic,7/4/2024
377,27283,IT,serkan.ates,7/1/2024
378,3528,Operations,serkan.ates,7/5/2024
379,34039,Finance,ayse.kaya,7/4/2024
380,30705,HR,dilan.erdem,7/3/2024
381,18249,Operations,yusuf.genc,7/6/2024
382,15172,Finance,okan.arar,7/3/2024
383,637,HR,melis.kilic,7/7/2024
384,19617,HR,melis.kilic,7/3/2024
385,5721,Operations,murat.demir,7/5/2024
386,35769,Operations,ozge.kaya,7/6/2024
387,26052,Operations,dilan.erdem,7/2/2024
388,12835,HR,ozge.kaya,7/5/2024
389,8102,Operations,murat.demir,7/1/2024
390,6987,Finance,melis.kilic,7/2/2024
391,23198,Operations,dilan.erdem,7/5/2024
392,26257,HR,ferhat.koc,7/3/2024
393,23437,Sales,okan.arar,7/7/2024
394,38474,Operations,ozge.kaya,7/2/2024
395,39270,Sales,ozge.kaya,7/7/2024
396,31727,Sales,yusuf.genc,7/7/2024
397,19592,Finance,cem.kurt,7/1/2024
398,34481,Operations,murat.demir,7/4/2024
399,12480,Operations,buse.ozkan,7/7/2024
400,11672,Sales,fatma.bolat,7/7/2024
401,32794,Sales,cem.kurt,7/1/2024
402,17821,Sales,ozge.kaya,7/4/2024
403,1775,Finance,okan.arar,7/6/2024
404,8811,HR,dilan.erdem,7/7/2024
405,2025,HR,elif.sahin,7/1/2024
406,7651,Finance,serkan.ates,7/1/2024
407,10868,IT,murat.demir,7/4/2024
408,31766,Sales,fatma.bolat,7/5/2024
409,23483,IT,dilan.erdem,7/3/2024
410,5792,Finance,yusuf.genc,7/7/2024
411,5310,Finance,cem.kurt,7/5/2024
412,30971,Finance,cem.kurt,7/1/2024
413,3383,IT,fatma.bolat,7/1/2024
414,6716,Sales,yusuf.genc,7/3/2024
415,1735,HR,ayse.kaya,7/4/2024
416,12839,Finance,serkan.ates,7/5/2024
417,13941,Sales,serkan.ates,7/6/2024
418,24058,HR,okan.arar,7/5/2024
419,19875,IT,ozge.kaya,7/7/2024
420,21357,Sales,ferhat.koc,7/1/2024
421,9165,Operations,fatma.bolat,7/3/2024
422,27192,IT,fatma.bolat,7/5/2024
423,23172,Sales,dilan.erdem,7/4/2024
424,20565,Finance,ozge.kaya,7/7/2024
425,21106,IT,elif.sahin,7/7/2024
426,23919,IT,buse.ozkan,7/5/2024
427,24497,Operations,buse.ozkan,7/5/2024
428,17096,IT,ozge.kaya,7/7/2024
429,17269,Finance,serkan.ates,7/2/2024
430,2173,Finance,ayse.kaya,7/4/2024
431,5090,IT,buse.ozkan,7/4/2024
432,2242,Finance,murat.demir,7/4/2024
433,3315,Sales,murat.demir,7/6/2024
434,18402,Finance,fatma.bolat,7/6/2024
435,15575,HR,cem.kurt,7/4/2024
436,2307,Operations,okan.arar,7/6/2024
437,15174,Finance,ferhat.koc,7/5/2024
438,20027,HR,yusuf.genc,7/6/2024
439,9290,HR,ozge.kaya,7/7/2024
440,4300,Finance,serkan.ates,7/1/2024
441,24171,Finance,elif.sahin,7/5/2024
442,2086,IT,cem.kurt,7/4/2024
443,26070,Operations,ozge.kaya,7/1/2024
444,5227,Sales,ozge.kaya,7/5/2024
445,6930,HR,zeynep.yilmaz,7/7/2024
446,9663,HR,yusuf.genc,7/2/2024
447,34994,Sales,serkan.ates,7/2/2024
448,34668,Sales,serkan.ates,7/7/2024
449,28986,HR,yusuf.genc,7/3/2024
450,18334,IT,melis.kilic,7/2/2024
451,2494,Sales,zeynep.yilmaz,7/4/2024
452,24841,Sales,ayse.kaya,7/1/2024
453,3016,Sales,melis.kilic,7/7/2024
454,27837,Finance,yusuf.genc,7/2/2024
455,4116,HR,okan.arar,7/1/2024
456,16149,Operations,ozge.kaya,7/1/2024
457,7320,Sales,emre.tuna,7/7/2024
458,36188,IT,zeynep.yilmaz,7/1/2024
459,3285,Operations,zeynep.yilmaz,7/3/2024
460,35218,IT,yusuf.genc,7/4/2024
461,32460,Sales,murat.demir,7/3/2024
462,13173,Finance,emre.tuna,7/5/2024
463,28066,HR,ayse.kaya,7/5/2024
464,5021,Finance,serkan.ates,7/3/2024
465,18706,Finance,ozge.kaya,7/7/2024
466,26638,Finance,ozge.kaya,7/4/2024
467,15303,HR,okan.arar,7/1/2024
468,15770,Sales,elif.sahin,7/3/2024
469,19084,HR,melis.kilic,7/6/2024
470,4548,Operations,serkan.ates,7/5/2024
471,28407,HR,cem.kurt,7/7/2024
472,13189,HR,ozge.kaya,7/1/2024
473,19731,IT,serkan.ates,7/6/2024
474,35520,HR,ayse.kaya,7/1/2024
475,14395,Sales,murat.demir,7/7/2024
476,26308,IT,fatma.bolat,7/3/2024
477,23955,Operations,cem.kurt,7/6/2024
478,5252,Operations,ayse.kaya,7/1/2024
479,25479,Operations,elif.sahin,7/5/2024
480,8164,HR,serkan.ates,7/3/2024
481,13215,Finance,buse.ozkan,7/5/2024
482,24517,IT,cem.kurt,7/5/2024
483,7254,HR,okan.arar,7/1/2024
484,29585,Operations,ozge.kaya,7/3/2024
485,32570,Operations,dilan.erdem,7/6/2024
486,2241,Sales,elif.sahin,7/2/2024
487,27857,HR,yusuf.genc,7/2/2024
488,27218,Finance,okan.arar,7/7/2024
489,38645,Sales,serkan.ates,7/4/2024
490,32766,Sales,fatma.bolat,7/6/2024
491,3302,HR,zeynep.yilmaz,7/7/2024
492,6883,IT,yusuf.genc,7/4/2024
493,31424,Operations,yusuf.genc,7/6/2024
494,29723,IT,melis.kilic,7/3/2024
495,39770,IT,yusuf.genc,7/4/2024
496,3928,Sales,zeynep.yilmaz,7/7/2024
497,7957,Operations,cem.kurt,7/6/2024
498,21977,HR,murat.demir,7/7/2024
499,38019,IT,yusuf.genc,7/4/2024
500,1063,Operations,melis.kilic,7/3/2024
501,19295,HR,fatma.bolat,7/1/2024
502,20005,Operations,melis.kilic,7/5/2024
503,16856,Finance,cem.kurt,7/5/2024
504,39194,Sales,dilan.erdem,7/2/2024
505,34855,IT,ayse.kaya,7/1/2024
506,32395,HR,emre.tuna,7/1/2024
507,7570,Sales,zeynep.yilmaz,7/1/2024
508,3750,Operations,yusuf.genc,7/5/2024
509,32347,HR,zeynep.yilmaz,7/3/2024
510,12587,HR,emre.tuna,7/7/2024
511,7720,Sales,fatma.bolat,7/6/2024
512,34291,Finance,ayse.kaya,7/2/2024
513,25895,HR,okan.arar,7/7/2024
514,9802,Sales,cem.kurt,7/7/2024
515,788,Sales,buse.ozkan,7/2/2024
516,1499,Sales,okan.arar,7/2/2024
517,25187,Finance,ayse.kaya,7/1/2024
518,22704,Sales,elif.sahin,7/6/2024
519,17508,IT,emre.tuna,7/3/2024
520,32482,Operations,ayse.kaya,7/6/2024
521,37857,Operations,melis.kilic,7/4/2024
522,2797,Sales,ozge.kaya,7/2/2024
523,5393,Operations,fatma.bolat,7/1/2024
524,3455,IT,emre.tuna,7/6/2024
525,33040,IT,serkan.ates,7/7/2024
526,6081,Finance,melis.kilic,7/2/2024
527,1973,IT,ferhat.koc,7/6/2024
528,14019,Operations,murat.demir,7/6/2024
529,3462,Finance,melis.kilic,7/3/2024
530,8705,Finance,ozge.kaya,7/3/2024
531,20964,IT,buse.ozkan,7/4/2024
532,6284,HR,melis.kilic,7/2/2024
533,32849,Operations,yusuf.genc,7/6/2024
534,6791,Operations,zeynep.yilmaz,7/6/2024
535,37026,Finance,fatma.bolat,7/7/2024
536,10304,IT,fatma.bolat,7/4/2024
537,6009,Operations,ferhat.koc,7/7/2024
538,23032,Finance,buse.ozkan,7/6/2024
539,2334,HR,serkan.ates,7/4/2024
540,11240,Finance,okan.arar,7/5/2024
541,35187,Finance,ferhat.koc,7/3/2024
542,12569,IT,melis.kilic,7/3/2024
543,15030,Finance,fatma.bolat,7/6/2024
544,679,Sales,dilan.erdem,7/1/2024
545,18613,Finance,ferhat.koc,7/2/2024
546,25110,Operations,melis.kilic,7/3/2024
547,35510,HR,okan.arar,7/7/2024
548,12894,HR,melis.kilic,7/7/2024
549,3197,HR,buse.ozkan,7/4/2024
550,17845,Operations,ozge.kaya,7/7/2024
551,10005,Sales,elif.sahin,7/1/2024
552,15022,Operations,okan.arar,7/7/2024
553,28013,Operations,serkan.ates,7/7/2024
554,2830,Operations,ozge.kaya,7/6/2024
555,14289,IT,okan.arar,7/4/2024
556,28630,IT,fatma.bolat,7/7/2024
557,38139,HR,dilan.erdem,7/4/2024
558,10834,Operations,serkan.ates,7/1/2024
559,13806,Operations,okan.arar,7/6/2024
560,1877,Operations,dilan.erdem,7/1/2024
561,6574,Sales,yusuf.genc,7/2/2024
562,14406,HR,okan.arar,7/2/2024
563,2619,Finance,dilan.erdem,7/3/2024
564,9054,Finance,elif.sahin,7/2/2024
565,4411,Operations,murat.demir,7/3/2024
566,23107,IT,serkan.ates,7/6/2024
567,6449,Sales,melis.kilic,7/1/2024
568,10068,IT,fatma.bolat,7/7/2024
569,6024,Finance,ferhat.koc,7/3/2024
570,1759,Operations,ozge.kaya,7/5/2024
571,9039,Sales,dilan.erdem,7/1/2024
572,29056,HR,murat.demir,7/3/2024
573,7445,Finance,serkan.ates,7/6/2024
574,9388,Sales,okan.arar,7/1/2024
575,15985,Finance,murat.demir,7/4/2024
576,9139,Sales,cem.kurt,7/6/2024
577,34579,HR,murat.demir,7/4/2024
578,1200,Finance,buse.ozkan,7/7/2024
579,20898,Sales,elif.sahin,7/3/2024
580,31945,IT,murat.demir,7/1/2024
581,16564,IT,melis.kilic,7/4/2024
582,19231,Finance,ozge.kaya,7/2/2024
583,32360,Operations,melis.kilic,7/5/2024
584,27120,Finance,zeynep.yilmaz,7/2/2024
585,9638,Sales,dilan.erdem,7/1/2024
586,39914,Operations,okan.arar,7/3/2024
587,31353,Operations,cem.kurt,7/6/2024
588,9833,Finance,fatma.bolat,7/1/2024
589,32904,HR,fatma.bolat,7/4/2024
590,25454,Finance,murat.demir,7/4/2024
591,757,HR,yusuf.genc,7/1/2024
592,16079,IT,fatma.bolat,7/4/2024
593,6497,IT,ferhat.koc,7/3/2024
594,20688,HR,elif.sahin,7/2/2024
595,3070,IT,zeynep.yilmaz,7/2/2024
596,21431,Sales,dilan.erdem,7/6/2024
597,6879,Sales,buse.ozkan,7/1/2024
598,29489,HR,okan.arar,7/1/2024
599,36088,Finance,zeynep.yilmaz,7/2/2024
600,21096,Finance,elif.sahin,7/7/2024
